result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   213560, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   711868, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  2135606, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  7118689, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 14237378, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 28474757, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 56949514, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    71186, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   213560, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   711868, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  2135606, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  7118689, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S3FIFO cache size 14237378, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S3FIFO cache size 28474757, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S3FIFO cache size 56949514, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    71186, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   213560, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   711868, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  2135606, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  7118689, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size 14237378, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
result/prediction_from_ranking_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size 28474757, 72962354 req, miss ratio 0.9757, byte miss ratio 0.9757
